Valeur de réponse,Question,Profil,Pondération (1 à 4)
J'ai une mauvaise connaissance des acteurs et de leurs besoins.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,0
Je suis capable d'identifier les besoins et les contraintes de mes interlocuteurs.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,2
Je suis capable d'identifier les besoins et d'adapter mon discours en fonction de mon interlocuteur.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,3
Je suis capable d'adapter mon discours et de hiérarchiser mes arguments en fonction des besoins et des contraintes de mon interlocuteur.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,4
"Avec un peu d'humour, j'arrive toujours à donner le change 😉.",Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,1
Cela me motive et je relève le défi avec enthousiasme.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,4
Je m'en sens capable si je ne suis pas seul face au public.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,2
Parler en public me demande beaucoup de préparation.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,1
"Je ne m'en sens pas capable, je préfère laisser cette tâche à quelqu'un d'autre.",Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,0
Je l'ai déjà fait plusieurs fois mais le petit sentiment de stress est toujours là.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,3
"Oui, je suis capable de les identifier et de les mettre en réseau pour les besoins de mon projet.",Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,4
"Oui, j'ai déjà un bon carnet d'adresses que je sais mobiliser et je saurai le compléter.",Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,3
J'ai déjà un petit carnet d'adresses de collaborateurs proches avec qui j'entretiens des relations privilégiées.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,2
Je connais quelques personnes mais j'ai du mal à pérenniser mes rélations professionnelles.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,1
Je ne connais personne dans ce domaine.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,0
La contrainte est source de créativité : je relève le challenge avec enthousiasme !,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,4
Je suis volontaire mais j'ai besoin d'aide.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,2
Je ne suis pas très à l'aise avec l'exercice.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,1
Je ne m'en sens pas vraiment capable.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,0
Je vais travailler pour y arriver ! Il faut une première fois à tout !,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,3
LinkedIn : j'y poste mes présentations de travail pour donner à voir mes projets.,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,1
Instagram : je manie le langage des images et je sais les associer aux bons mots-clés.,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,2
"YouTube : je sais produire un discours vidéo rythmé, dynamique et efficace !","""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,3
Je suis clairement multiplateforme ! J'aurais été partout !,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,4
"Les réseaux sociaux, ça n'est pas du tout mon truc.","""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,0
Je connais les courbes et les camemberts 🙂,Savez-vous choisir un format de visualisation en fonction d'un questionnement de données ?,Analyste,0
Je connais les usages des formats de visualisation les plus courants. ,Savez-vous choisir un format de visualisation en fonction d'un questionnement de données ?,Analyste,2
"Je connais des formats un peu plus rares comme le treemap (carte de carrés), le diagramme Sankey (branchage) ou la heat map (carte de chaleur) en tableau.",Savez-vous choisir un format de visualisation en fonction d'un questionnement de données ?,Analyste,3
Je connais la grande majorité des formats de visualisation et je peux de tête choisir le format le plus adapté à mon usage.,Savez-vous choisir un format de visualisation en fonction d'un questionnement de données ?,Analyste,4
Je connais les principaux formats de datavisualisations mais je ne sais pas forcément les choisir par rapport à un questionnement.,Savez-vous choisir un format de visualisation en fonction d'un questionnement de données ?,Analyste,1
Je ne sais pas de quoi il s'agit.,Savez-vous modéliser ou prédire un phénomène à partir de données ?,Analyste,0
Je sais ce que c'est mais je ne sais pas le faire.,Savez-vous modéliser ou prédire un phénomène à partir de données ?,Analyste,1
"Oui, j'ai déjà réalisé des projets de modélisation ou de prédiction.",Savez-vous modéliser ou prédire un phénomène à partir de données ?,Analyste,3
"Oui, je fais ça très régulièrement. On pourrait presque m'appeler le monsieur ou madame Irma de la data. ",Savez-vous modéliser ou prédire un phénomène à partir de données ?,Analyste,4
Je n'en ai jamais fait mais je sais quels outils je pourrais utiliser pour le faire.,Savez-vous modéliser ou prédire un phénomène à partir de données ?,Analyste,2
"Non, je ne sais pas vraiment ce que ça veut dire.",Savez-vous présenter la différence entre une corrélation et une causalité dans le champ statistique ?,Analyste,0
Je sais expliquer la différence entre les deux.,Savez-vous présenter la différence entre une corrélation et une causalité dans le champ statistique ?,Analyste,1
Je sais interpréter une droite de régression dans un nuage de points.,Savez-vous présenter la différence entre une corrélation et une causalité dans le champ statistique ?,Analyste,3
"Complètement, je sais calculer et interpréter un coefficient de corrélation entre deux variables.",Savez-vous présenter la différence entre une corrélation et une causalité dans le champ statistique ?,Analyste,4
Je sais avertir quand quelqu'un confond les deux : en interprétant mal un graphique par exemple.,Savez-vous présenter la différence entre une corrélation et une causalité dans le champ statistique ?,Analyste,2
Une jointure ?,Savez-vous réaliser une jointure entre deux jeux de données ? ,Analyste,0
Non mais je sais ce que c'est et j'en connais l'utilité.,Savez-vous réaliser une jointure entre deux jeux de données ? ,Analyste,1
"Oui, je l'ai déjà fait.",Savez-vous réaliser une jointure entre deux jeux de données ? ,Analyste,2
"À l'aise Blaise, left join, inner join et right join n'ont plus de secret pour moi.",Savez-vous réaliser une jointure entre deux jeux de données ? ,Analyste,4
